980
1	147	148	146	145	1.094300
2	148	149	146	145	0.142440
3	149	150	146	145	0.048657
4	150	151	146	145	0.020616
5	151	152	146	145	0.010523
6	152	153	146	145	0.005537
7	153	154	146	145	0.003955
8	154	155	146	145	0.002666
9	148	149	147	146	1.124045
10	149	150	147	146	0.169171
11	150	151	147	146	0.051609
12	151	152	147	146	0.022404
13	152	153	147	146	0.010598
14	153	154	147	146	0.006981
15	154	155	147	146	0.004415
16	155	156	147	146	0.002949
17	149	151	147	145	0.290036
18	151	153	147	145	0.049051
19	153	155	147	145	0.018010
20	155	157	147	145	0.008020
21	157	159	147	145	0.004235
22	159	80	147	145	0.002652
23	80	78	147	145	0.001499
24	78	76	147	145	0.000965
25	149	150	148	147	1.056583
26	150	151	148	147	0.163183
27	151	152	148	147	0.053376
28	152	153	148	147	0.021723
29	153	154	148	147	0.012970
30	154	155	148	147	0.007634
31	155	156	148	147	0.004828
32	156	157	148	147	0.003040
33	150	152	148	146	0.290602
34	152	154	148	146	0.052269
35	154	156	148	146	0.019842
36	156	158	148	146	0.008500
37	158	160	148	146	0.004942
38	160	79	148	146	0.002602
39	79	77	148	146	0.001612
40	77	75	148	146	0.000911
41	151	154	148	145	0.148066
42	154	157	148	145	0.030602
43	157	160	148	145	0.010877
44	160	78	148	145	0.004546
45	78	75	148	145	0.002229
46	75	72	148	145	0.001200
47	72	69	148	145	0.000832
48	69	66	148	145	0.000659
49	150	151	149	148	0.926086
50	151	152	149	148	0.157167
51	152	153	149	148	0.048614
52	153	154	149	148	0.025015
53	154	155	149	148	0.013403
54	155	156	149	148	0.007920
55	156	157	149	148	0.004723
56	157	158	149	148	0.003149
57	151	153	149	147	0.280862
58	153	155	149	147	0.059021
59	155	157	149	147	0.020503
60	157	159	149	147	0.009170
61	159	80	149	147	0.005082
62	80	78	149	147	0.002664
63	78	76	149	147	0.001653
64	76	74	149	147	0.000944
65	152	155	149	146	0.151344
66	155	158	149	146	0.032075
67	158	80	149	146	0.011607
68	80	77	149	146	0.004836
69	77	74	149	146	0.002157
70	74	71	149	146	0.001272
71	71	68	149	146	0.001015
72	68	65	149	146	0.000630
73	153	157	149	145	0.105547
74	157	80	149	145	0.021141
