DATE_TIME,PE,PRECIP,EFF_RAIN
2014-11-23,0.3,2.7100000000000004,2.4100000000000006
2014-11-24,0.2,0.0,-0.2
2014-11-25,0.2,0.0,-0.2
2014-11-26,0.2,4.92,4.72
2014-11-27,0.1,6.429999999999999,6.329999999999999
2014-11-28,0.1,0.47,0.37
2014-11-29,0.3,1.05,0.75
2014-11-30,0.2,0.32000000000000006,0.12000000000000005
2014-12-01,0.2,0.0,-0.2
2014-12-02,0.3,0.25,-0.04999999999999999
2014-12-03,0.1,0.0,-0.1
2014-12-04,0.3,0.0,-0.3
2014-12-05,0.2,0.0,-0.2
2014-12-06,0.3,0.0,-0.3
2014-12-07,0.3,0.08,-0.21999999999999997
2014-12-08,0.1,0.0,-0.1
2014-12-09,0.4,1.2100000000000002,0.8100000000000002
2014-12-10,0.5,9.42,8.92
2014-12-11,0.5,3.0999999999999996,2.5999999999999996
2014-12-12,0.4,5.789999999999999,5.389999999999999
2014-12-13,0.1,0.0,-0.1
2014-12-14,0.4,0.0,-0.4
2014-12-15,0.2,0.14,-0.06
2014-12-16,0.1,4.870000000000001,4.770000000000001
2014-12-17,0.2,0.72,0.52
2014-12-18,0.2,0.51,0.31
2014-12-19,0.5,0.0,-0.5
2014-12-20,0.2,0.0,-0.2
2014-12-21,0.7,0.0,-0.7
2014-12-22,1.2,0.1,-1.0999999999999999
2014-12-23,0.8,1.07,0.27
2014-12-24,0.2,0.54,0.34
2014-12-25,0.3,0.41000000000000003,0.11000000000000004
2014-12-26,0.3,6.929999999999999,6.629999999999999
2014-12-27,0.3,2.5,2.2
2014-12-28,0.1,0.0,-0.1
2014-12-29,0.1,0.0,-0.1
2014-12-30,0.3,0.08,-0.21999999999999997
2014-12-31,0.2,0.0,-0.2
2015-01-01,0.6,0.16999999999999998,-0.43
2015-01-02,0.6,0.08,-0.52
2015-01-03,0.3,0.0,-0.3
2015-01-04,0.1,0.0,-0.1
2015-01-05,0.2,0.0,-0.2
2015-01-06,0.2,0.0,-0.2
2015-01-07,0.5,0.25,-0.25
2015-01-08,0.4,0.0,-0.4
2015-01-09,1.2,0.07,-1.13
2015-01-10,1.0,0.07,-0.9299999999999999
2015-01-11,0.7,0.0,-0.7
2015-01-12,0.7,0.28,-0.41999999999999993
2015-01-13,0.3,0.0,-0.3
2015-01-14,0.6,1.82,1.2200000000000002
2015-01-15,1.1,2.0100000000000002,0.9100000000000001
2015-01-16,0.3,0.47,0.16999999999999998
2015-01-17,0.4,0.5900000000000001,0.19000000000000006
2015-01-18,0.5,1.18,0.6799999999999999
2015-01-19,0.2,0.32999999999999996,0.12999999999999995
2015-01-20,0.4,0.0,-0.4
2015-01-21,0.3,2.08,1.78
2015-01-22,0.2,0.27,0.07
2015-01-23,0.4,0.54,0.14
2015-01-24,0.3,0.0,-0.3
2015-01-25,0.3,0.0,-0.3
2015-01-26,0.2,0.0,-0.2
2015-01-27,0.4,0.0,-0.4
2015-01-28,0.7,1.57,0.8700000000000001
2015-01-29,,0.1,0.8492222222222223
2015-01-30,,0.0,0.8284444444444445
2015-01-31,,5.09,0.8076666666666668
2015-02-01,,1.2700000000000002,-0.6467777777777779
2015-02-02,,0.28,-0.6675555555555557
2015-02-03,,2.0100000000000002,-0.6883333333333335
2015-02-04,,2.7,-0.7091111111111112
2015-02-05,,0.66,-0.729888888888889
2015-02-06,,0.0,-0.7506666666666668
2015-02-07,,0.0,-0.7714444444444446
2015-02-08,,0.0,-0.7922222222222224
2015-02-09,,0.0,-0.8130000000000002
2015-02-10,,0.05,-0.833777777777778
2015-02-11,,0.0,-0.8545555555555557
2015-02-12,,0.0,-0.8753333333333335
2015-02-13,,0.47,-0.8961111111111113
2015-02-14,,0.22,-0.9168888888888891
2015-02-15,,0.0,-0.9376666666666669
2015-02-16,,1.4200000000000002,-0.9584444444444447
2015-02-17,,0.0,-0.9792222222222224
2015-02-18,1.0,0.0,-1.0
2015-02-19,0.6,1.5599999999999998,0.9599999999999999
2015-02-20,0.5,0.0,-0.5
2015-02-21,0.7,0.0,-0.7
2015-02-22,0.4,2.14,1.7400000000000002
2015-02-23,1.3,0.37,-0.93
2015-02-24,0.8,0.6500000000000001,-0.1499999999999999
2015-02-25,1.1,2.27,1.17
2015-02-26,0.7,0.9700000000000002,0.27000000000000024
2015-02-27,1.1,0.0,-1.1
2015-02-28,1.0,0.63,-0.37
2015-03-01,1.2,1.88,0.6799999999999999
2015-03-02,0.8,1.08,0.28
2015-03-03,1.1,1.1,0.0
2015-03-04,1.1,0.0,-1.1
