DATE_TIME,PE,VWC,PRECIP,Kc,EFF_RAIN
2014-01-01,0.0,0.0,0.4,0.0,0.0
2014-01-02,0.0,0.0,0.4,0.0,0.0
2014-01-03,0.0,0.0,0.4,0.0,0.0
2014-01-04,0.0,0.0,0.4,0.0,0.0
2014-01-05,0.0,0.0,0.4,0.0,0.0
2014-01-06,0.0,0.0,0.4,0.0,0.0
2014-01-07,0.0,0.0,0.4,0.0,0.0
2014-01-08,0.0,0.0,0.4,0.0,0.0
2014-01-09,0.0,0.0,0.4,0.0,0.0
2014-01-10,0.0,0.0,0.4,0.0,0.0
2014-01-11,0.0,0.0,0.4,0.0,0.0
2014-01-12,0.0,0.0,0.4,0.0,0.0
2014-01-13,0.0,0.0,0.4,0.0,0.0
2014-01-14,0.0,0.0,0.4,0.0,0.0
2014-01-15,0.0,0.0,0.4,0.0,0.0
2014-01-16,0.0,0.0,0.4,0.0,0.0
2014-01-17,0.0,0.0,0.4,0.0,0.0
2014-01-18,0.0,0.0,0.4,0.0,0.0
2014-01-19,0.0,0.0,0.4,0.0,0.0
2014-01-20,0.0,0.0,0.4,0.0,0.0
2014-01-21,0.0,0.0,0.4,0.0,0.0
2014-01-22,0.0,0.0,0.4,0.0,0.0
2014-01-23,0.0,0.0,0.4,0.0,0.0
2014-01-24,0.0,0.0,0.4,0.0,0.0
2014-01-25,0.0,0.0,0.4,0.0,0.0
2014-01-26,0.0,0.0,0.4,0.0,0.0
2014-01-27,0.0,0.0,0.4,0.0,0.0
2014-01-28,0.0,0.0,0.4,0.0,0.0
2014-01-29,0.0,0.0,0.4,0.0,0.0
2014-01-30,0.0,0.0,0.4,0.0,0.0
2014-01-31,0.0,0.0,0.4,0.0,0.0
2014-02-01,0.0,0.0,0.4,0.0,0.0
2014-02-02,0.0,0.0,0.4,0.0,0.0
2014-02-03,0.0,0.0,0.4,0.0,0.0
2014-02-04,0.0,0.0,0.4,0.0,0.0
2014-02-05,0.0,0.0,0.4,0.0,0.0
2014-02-06,0.0,0.0,0.4,0.0,0.0
2014-02-07,0.0,0.0,0.4,0.0,0.0
2014-02-08,0.0,0.0,0.4,0.0,0.0
2014-02-09,0.0,0.0,0.4,0.0,0.0
2014-02-10,0.0,0.0,0.4,0.0,0.0
2014-02-11,0.0,0.0,0.4,0.0,0.0
2014-02-12,0.0,0.0,0.4,0.0,0.0
2014-02-13,0.0,0.0,0.4,0.0,0.0
2014-02-14,0.0,0.0,0.4,0.0,0.0
2014-02-15,0.0,0.0,0.4,0.0,0.0
2014-02-16,0.0,0.0,0.4,0.0,0.0
2014-02-17,0.0,0.0,0.4,0.0,0.0
2014-02-18,0.0,0.0,0.4,0.0,0.0
2014-02-19,0.0,0.0,0.4,0.0,0.0
2014-02-20,0.0,0.0,0.4,0.0,0.0
2014-02-21,0.0,0.0,0.4,0.0,0.0
2014-02-22,0.0,0.0,0.4,0.0,0.0
2014-02-23,0.0,0.0,0.4,0.0,0.0
2014-02-24,0.0,0.0,0.4,0.0,0.0
2014-02-25,0.0,0.0,0.4,0.0,0.0
2014-02-26,0.0,0.0,0.4,0.0,0.0
2014-02-27,0.0,0.0,0.4,0.0,0.0
2014-02-28,0.0,0.0,0.4,0.0,0.0
2014-03-01,0.0,0.0,0.4,0.0,0.0
2014-03-02,0.0,0.0,0.4,0.0,0.0
2014-03-03,0.0,0.0,0.4,0.0,0.0
2014-03-04,0.0,0.0,0.4,0.0,0.0
2014-03-05,0.0,0.0,0.4,0.0,0.0
2014-03-06,0.0,0.0,0.4,0.0,0.0
2014-03-07,0.0,0.0,0.4,0.0,0.0
2014-03-08,0.0,0.0,0.4,0.0,0.0
2014-03-09,0.0,0.0,0.4,0.0,0.0
2014-03-10,0.0,0.0,0.4,0.0,0.0
2014-03-11,0.0,0.0,0.4,0.0,0.0
2014-03-12,0.0,0.0,0.4,0.0,0.0
2014-03-13,0.0,0.0,0.4,0.0,0.0
2014-03-14,0.0,0.0,0.4,0.0,0.0
2014-03-15,0.0,0.0,0.4,0.0,0.0
2014-03-16,0.0,0.0,0.4,0.0,0.0
2014-03-17,0.0,0.0,0.4,0.0,0.0
2014-03-18,0.0,0.0,0.4,0.0,0.0
2014-03-19,0.0,0.0,0.4,0.0,0.0
2014-03-20,0.0,0.0,0.4,0.0,0.0
2014-03-21,0.0,0.0,0.4,0.0,0.0
2014-03-22,0.0,0.0,0.4,0.0,0.0
2014-03-23,0.0,0.0,0.4,0.0,0.0
2014-03-24,0.0,0.0,0.4,0.0,0.0
2014-03-25,0.0,0.0,0.4,0.0,0.0
2014-03-26,0.0,0.0,0.4,0.0,0.0
2014-03-27,0.0,0.0,0.4,0.0,0.0
2014-03-28,0.0,0.0,0.4,0.0,0.0
2014-03-29,0.0,0.0,0.4,0.0,0.0
2014-03-30,0.0,0.0,0.4,0.0,0.0
2014-03-31,0.0,0.0,0.4,0.0,0.0
2014-04-01,0.0,0.0,0.4,0.0,0.0
2014-04-02,0.0,0.0,0.4,0.0,0.0
2014-04-03,0.0,0.0,0.4,0.0,0.0
2014-04-04,0.0,0.0,0.4,0.0,0.0
2014-04-05,0.0,0.0,0.4,0.0,0.0
2014-04-06,0.0,0.0,0.4,0.0,0.0
2014-04-07,0.0,0.0,0.4,0.0,0.0
2014-04-08,0.0,0.0,0.4,0.0,0.0
2014-04-09,0.0,0.0,0.4,0.0,0.0
2014-04-10,0.0,0.0,0.4,0.0,0.0
2014-04-11,0.0,0.0,0.4,0.0,0.0
2014-04-12,0.0,0.0,0.4,0.0,0.0
2014-04-13,0.0,0.0,0.4,0.0,0.0
2014-04-14,0.0,0.0,0.4,0.0,0.0
2014-04-15,0.0,0.0,0.4,0.0,0.0
2014-04-16,0.0,0.0,0.4,0.0,0.0
2014-04-17,0.0,0.0,0.4,0.0,0.0
2014-04-18,0.0,0.0,0.4,0.0,0.0
2014-04-19,0.0,0.0,0.4,0.0,0.0
2014-04-20,0.0,0.0,0.4,0.0,0.0
2014-04-21,0.0,0.0,0.4,0.0,0.0
2014-04-22,0.0,0.0,0.4,0.0,0.0
2014-04-23,0.0,0.0,0.4,0.0,0.0
2014-04-24,0.0,0.0,0.4,0.0,0.0
2014-04-25,0.0,0.0,0.4,0.0,0.0
2014-04-26,0.0,0.0,0.4,0.0,0.0
2014-04-27,0.0,0.0,0.4,0.0,0.0
2014-04-28,0.0,0.0,0.4,0.0,0.0
2014-04-29,0.0,0.0,0.4,0.0,0.0
2014-04-30,0.0,0.0,0.4,0.0,0.0
2014-05-01,0.0,0.0,0.4,0.0,0.0
2014-05-02,0.0,0.0,0.4,0.0,0.0
2014-05-03,0.0,0.0,0.4,0.0,0.0
2014-05-04,0.0,0.0,0.4,0.0,0.0
2014-05-05,0.0,0.0,0.4,0.0,0.0
2014-05-06,0.0,0.0,0.4,0.0,0.0
2014-05-07,0.0,0.0,0.4,0.0,0.0
2014-05-08,0.0,0.0,0.4,0.0,0.0
2014-05-09,0.0,0.0,0.4,0.0,0.0
2014-05-10,0.0,0.0,0.4,0.0,0.0
2014-05-11,0.0,0.0,0.4,0.0,0.0
2014-05-12,0.0,0.0,0.4,0.0,0.0
2014-05-13,0.0,0.0,0.4,0.0,0.0
2014-05-14,0.0,0.0,0.4,0.0,0.0
2014-05-15,0.0,0.0,0.4,0.0,0.0
2014-05-16,0.0,0.0,0.4,0.0,0.0
2014-05-17,0.0,0.0,0.4,0.0,0.0
2014-05-18,0.0,0.0,0.4,0.0,0.0
2014-05-19,0.0,0.0,0.4,0.0,0.0
2014-05-20,0.0,0.0,0.4,0.0,0.0
2014-05-21,0.0,0.0,0.4,0.0,0.0
2014-05-22,0.0,0.0,0.4,0.0,0.0
2014-05-23,0.0,0.0,0.4,0.0,0.0
2014-05-24,0.0,0.0,0.4,0.0,0.0
2014-05-25,0.0,0.0,0.4,0.0,0.0
2014-05-26,0.0,0.0,0.4,0.0,0.0
2014-05-27,0.0,0.0,0.4,0.0,0.0
2014-05-28,0.0,0.0,0.4,0.0,0.0
2014-05-29,0.0,0.0,0.4,0.0,0.0
2014-05-30,0.0,0.0,0.4,0.0,0.0
2014-05-31,0.0,0.0,0.4,0.0,0.0
2014-06-01,0.0,0.0,0.4,0.0,0.0
2014-06-02,0.0,0.0,0.4,0.0,0.0
2014-06-03,0.0,0.0,0.4,0.0,0.0
2014-06-04,0.0,0.0,0.4,0.0,0.0
2014-06-05,0.0,0.0,0.4,0.0,0.0
2014-06-06,0.0,0.0,0.4,0.0,0.0
2014-06-07,0.0,0.0,0.4,0.0,0.0
2014-06-08,0.0,0.0,0.4,0.0,0.0
2014-06-09,0.0,0.0,0.4,0.0,0.0
2014-06-10,0.0,0.0,0.4,0.0,0.0
2014-06-11,0.0,0.0,0.4,0.0,0.0
2014-06-12,0.0,0.0,0.4,0.0,0.0
2014-06-13,0.0,0.0,0.4,0.0,0.0
2014-06-14,0.0,0.0,0.4,0.0,0.0
2014-06-15,0.0,0.0,0.4,0.0,0.0
2014-06-16,0.0,0.0,0.4,0.0,0.0
2014-06-17,0.0,0.0,0.4,0.0,0.0
2014-06-18,0.0,0.0,0.4,0.0,0.0
2014-06-19,0.0,0.0,0.4,0.0,0.0
2014-06-20,0.0,0.0,0.4,0.0,0.0
2014-06-21,0.0,0.0,0.4,0.0,0.0
2014-06-22,0.0,0.0,0.4,0.0,0.0
2014-06-23,0.0,0.0,0.4,0.0,0.0
2014-06-24,0.0,0.0,0.4,0.0,0.0
2014-06-25,0.0,0.0,0.4,0.0,0.0
2014-06-26,0.0,0.0,0.4,0.0,0.0
2014-06-27,0.0,0.0,0.4,0.0,0.0
2014-06-28,0.0,0.0,0.4,0.0,0.0
2014-06-29,0.0,0.0,0.4,0.0,0.0
2014-06-30,0.0,0.0,0.4,0.0,0.0
2014-07-01,3.5,37.7,0.0,0.4,-3.5
2014-07-02,3.0,36.7,0.0,0.4,-3.0
2014-07-03,2.2,36.6,0.0,0.4,-2.2
2014-07-04,2.6,35.6,2.6599999999999997,0.4,0.05999999999999961
2014-07-05,3.3,38.8,6.959999999999999,0.4,3.6599999999999993
2014-07-06,2.1,42.3,4.06,0.4,1.9599999999999995
2014-07-07,2.9,40.7,0.0,0.3,-2.9
2014-07-08,2.3,40.2,2.64,0.3,0.3400000000000003
2014-07-09,4.2,36.5,0.0,0.3,-4.2
2014-07-10,1.8,35.4,0.0,0.3,-1.8
2014-07-11,4.0,30.8,0.0,0.3,-4.0
2014-07-12,3.9,35.9,1.3099999999999998,0.3,-2.59
2014-07-13,1.9,43.9,17.56,0.3,15.659999999999998
2014-07-14,3.3,41.6,0.0,0.3,-3.3
2014-07-15,3.1,37.3,0.0,0.3,-3.1
2014-07-16,2.9,40.5,1.96,0.3,-0.94
2014-07-17,4.7,42.5,0.1,0.3,-4.6000000000000005
2014-07-18,2.5,37.5,0.28,0.3,-2.2199999999999998
2014-07-19,1.4,39.9,3.8400000000000003,0.3,2.4400000000000004
2014-07-20,2.4,42.6,7.009999999999999,0.3,4.609999999999999
2014-07-21,4.3,42.4,0.0,0.8,-4.3
2014-07-22,4.4,39.9,0.0,0.8,-4.4
2014-07-23,4.1,37.6,0.0,0.8,-4.1
2014-07-24,4.7,35.3,0.1,0.8,-4.6000000000000005
2014-07-25,4.5,33.5,0.0,0.8,-4.5
2014-07-26,4.0,33.3,0.0,0.8,-4.0
2014-07-27,4.0,34.1,2.92,0.8,-1.08
2014-07-28,3.7,32.2,0.0,0.6,-3.7
2014-07-29,3.1,33.5,0.0,0.6,-3.1
