bound,x,z
ssf,-0.273822562979189,62
ssf,8.31325301204819,57.3846153846154
ssf,28.0941949616648,56
ssf,71.0295728368017,54.3076923076923
ssf,107.217962760131,50.9230769230769
ssf,149.386637458927,46.4615384615385
ssf,164.720700985761,44.1538461538462
wmf,83.2968236582694,84.3076923076923
wmf,87.4370208105148,82.6153846153846
wmf,124.238773274918,77.0769230769231
wmf,153.220153340635,74.3076923076923
wmf,169.014238773275,73.0769230769231
